ISIN,Cap,Bewertungstag,Emittent,Brief,Geld
DE000PZ3VPW3,10550.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,105.5,105.49
DE000PZ3VPV5,10450.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,104.5,104.49
DE000PZ3VPU7,10400.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,104.0,103.99
DE000PZ3VPT9,10350.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,103.5,103.49
DE000PZ3VPS1,10300.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,103.0,102.99
DE000PZ3VPR3,10250.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,102.5,102.49
DE000PZ3VPQ5,10200.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,102.0,101.99
DE000PZ3VPP7,10150.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,101.5,101.49
DE000PZ3VPN2,10100.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,101.0,100.99
DE000PZ3VPM4,10050.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,100.5,100.49
DE000PZ3VPL6,10000.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,100.0,99.99
DE000PZ3VPK8,9950.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,99.5,99.49
DE000PZ3VPJ0,9900.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,99.0,98.99
DE000PZ3VPG6,9800.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,98.0,97.99
DE000PZ3VP94,10100.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,101.0,100.99
DE000PZ3VP86,10050.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,100.5,100.49
DE000PZ3VP78,10000.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,100.0,99.99
DE000PZ3VP60,9950.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,99.5,99.49
DE000PZ3VP52,9900.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,99.0,98.99
DE000PZ3VP45,9850.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,98.5,98.49
DE000PZ3VP37,11050.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,110.5,110.49
DE000PZ3VP29,10950.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,109.5,109.49
DE000PZ3VP11,10900.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,109.0,108.99
DE000PZ3VP03,10850.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,108.5,108.49
DE000PZ3V2X9,10600.0,2020-12-18,BNP Paribas Emissions- und Handelsges.,103.56,103.55
DE000PZ3V2W1,10500.0,2020-12-18,BNP Paribas Emissions- und Handelsges.,102.72,102.71
DE000PZ3V2V3,10400.0,2020-12-18,BNP Paribas Emissions- und Handelsges.,101.87,101.86
DE000PZ3V2U5,10200.0,2020-12-18,BNP Paribas Emissions- und Handelsges.,100.14,100.13
DE000PZ3V2T7,10800.0,2020-09-18,BNP Paribas Emissions- und Handelsges.,106.0,105.99
DE000PZ3V2S9,10600.0,2020-09-18,BNP Paribas Emissions- und Handelsges.,104.28,104.27
DE000PZ3V2R1,10500.0,2020-09-18,BNP Paribas Emissions- und Handelsges.,103.41,103.4
DE000PZ3V2Q3,10400.0,2020-09-18,BNP Paribas Emissions- und Handelsges.,102.54,102.53
DE000PZ3V2P5,10200.0,2020-09-18,BNP Paribas Emissions- und Handelsges.,100.76,100.75
DE000PZ3V2N0,10000.0,2020-09-18,BNP Paribas Emissions- und Handelsges.,98.95,98.94
DE000PZ3V2M2,10800.0,2020-06-19,BNP Paribas Emissions- und Handelsges.,106.6,106.59
DE000PZ3V2L4,10600.0,2020-06-19,BNP Paribas Emissions- und Handelsges.,104.83,104.82
DE000PZ3V2K6,10500.0,2020-06-19,BNP Paribas Emissions- und Handelsges.,103.93,103.92
DE000PZ3V2J8,10400.0,2020-06-19,BNP Paribas Emissions- und Handelsges.,103.03,103.02
DE000PZ3V2H2,10200.0,2020-06-19,BNP Paribas Emissions- und Handelsges.,101.21,101.2
DE000PZ3V2G4,10000.0,2020-06-19,BNP Paribas Emissions- und Handelsges.,99.35,99.34
DE000PZ3V2F6,14500.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,126.81,126.8
DE000PZ3V2E9,14400.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,126.75,126.74
DE000PZ3V2D1,14200.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,126.55,126.54
DE000PZ3V2C3,14000.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,126.29,126.28
DE000PZ3V2B5,13800.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,125.94,125.93
DE000PZ3V2A7,13600.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,125.41,125.4
DE000PZ3V1Z6,11800.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,115.26,115.25
DE000PZ3V1Y9,11600.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,113.69,113.68
DE000PZ3V1X1,11500.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,112.86,112.85
DE000PZ3V1W3,11400.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,112.04,112.03
DE000PZ3V1V5,11200.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,110.36,110.35
DE000PZ3V1U7,11000.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,108.63,108.62
DE000PZ3V1T9,10800.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,106.85,106.84
DE000PZ3V1S1,10600.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,105.06,105.05
DE000PZ3V1R3,10500.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,104.15,104.14
DE000PZ3V1Q5,10400.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,103.23,103.22
DE000PZ3V1P7,10200.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,101.38,101.37
DE000PZ3V1N2,10000.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,99.51,99.5
DE000PZ3V1M4,14000.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,126.29,126.28
DE000PZ3V1L6,13950.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,126.17,126.16
DE000PZ3V1K8,13900.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,126.11,126.1
DE000PZ3V1J0,13850.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,126.03,126.02
DE000PZ3V1H4,13800.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,125.95,125.94
DE000PZ3V1G6,13750.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,125.85,125.84
