,Datum,Einstiegskosten,Ausstiegskosten,Portfolio Transaktionskosten,Sonstige laufende Kosten,ISIN
6306,31.01.2019,"0,07%",-,-,"0,00%",DE000DGL6EF2
6307,08.01.2019,"0,10%",-,-,"0,00%",DE000DGL6EF2
6308,01.12.2018,"0,08%",-,-,"0,00%",DE000DGL6EF2
6309,10.11.2018,"0,07%",-,-,"0,00%",DE000DGL6EF2
6310,09.11.2018,"0,09%",-,-,"0,00%",DE000DGL6EF2
6311,01.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EF2
6312,26.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EF2
6313,23.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EF2
6314,20.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EF2
6315,06.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EF2
6316,01.09.2018,"0,07%",-,-,"0,00%",DE000DGL6EF2
6317,03.04.2018,"0,04%",-,-,"0,00%",DE000DGL6EF2
6318,06.02.2018,"0,04%",-,-,"0,00%",DE000DGL6EF2
6319,21.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EF2
6320,16.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EF2
6321,15.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EF2
6322,13.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EF2
6323,10.01.2018,"0,05%",-,-,"0,00%",DE000DGL6EF2
6324,04.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EF2
6325,03.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EF2
6326,11.10.2019,"0,02%",-,-,"0,00%",DE000DGL6EG0
6327,26.09.2019,"0,02%",-,-,"0,00%",DE000DGL6EG0
6328,30.07.2019,"0,02%",-,-,"0,00%",DE000DGL6EG0
6329,12.04.2019,"0,04%",-,-,"0,00%",DE000DGL6EG0
6330,22.01.2019,"0,07%",-,-,"0,00%",DE000DGL6EG0
6331,08.01.2019,"0,10%",-,-,"0,00%",DE000DGL6EG0
6332,01.12.2018,"0,09%",-,-,"0,00%",DE000DGL6EG0
6333,10.11.2018,"0,07%",-,-,"0,00%",DE000DGL6EG0
6334,09.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EG0
6335,01.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EG0
6336,26.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EG0
6337,23.10.2018,"0,09%",-,-,"0,00%",DE000DGL6EG0
6338,20.10.2018,"0,07%",-,-,"0,00%",DE000DGL6EG0
6339,06.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EG0
6340,01.09.2018,"0,08%",-,-,"0,00%",DE000DGL6EG0
6341,03.04.2018,"0,04%",-,-,"0,00%",DE000DGL6EG0
6342,06.02.2018,"0,04%",-,-,"0,00%",DE000DGL6EG0
6343,21.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EG0
6344,16.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EG0
6345,15.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EG0
6346,13.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EG0
6347,10.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EG0
6348,04.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EG0
6349,03.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EG0
6350,22.10.2019,"0,01%",-,-,"0,00%",DE000DGL6EH8
6351,26.09.2019,"0,01%",-,-,"0,00%",DE000DGL6EH8
6352,30.07.2019,"0,02%",-,-,"0,00%",DE000DGL6EH8
6353,17.04.2019,"0,05%",-,-,"0,00%",DE000DGL6EH8
6354,15.01.2019,"0,09%",-,-,"0,00%",DE000DGL6EH8
6355,08.01.2019,"0,10%",-,-,"0,00%",DE000DGL6EH8
6356,01.12.2018,"0,08%",-,-,"0,00%",DE000DGL6EH8
6357,10.11.2018,"0,06%",-,-,"0,00%",DE000DGL6EH8
6358,09.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EH8
6359,01.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EH8
6360,26.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EH8
6361,23.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EH8
6362,20.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EH8
6363,06.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EH8
6364,01.09.2018,"0,07%",-,-,"0,00%",DE000DGL6EH8
6365,03.04.2018,"0,04%",-,-,"0,00%",DE000DGL6EH8
6366,06.02.2018,"0,04%",-,-,"0,00%",DE000DGL6EH8
6367,21.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EH8
6368,16.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EH8
6369,16.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EH8
6370,13.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EH8
