ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,faelligkeitsdatum,gesamtkosten_0,mittleres_szenario_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,mittleres_szenario_1,relative_gesamtkosten_1,gesamtkosten_2,mittleres_szenario_2,relative_gesamtkosten_2
DE000CJ2QQ77,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,57","10.118,18","0,04",4,,,,,,
DE000CJ2QQ85,"0,00","0,01","0,03",20. Februar 2019,22. November 2019,"3,45","10.117,29","0,03",4,,,,,,
DE000CJ2QQ93,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,51","10.116,40","0,04",4,,,,,,
DE000CJ2QQA4,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,71","10.271,92","0,04",4,,,,,,
DE000CJ2QQB2,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,78","10.260,22","0,04",4,,,,,,
DE000CJ2QQC0,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,69","10.249,22","0,04",4,,,,,,
DE000CJ2QQD8,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,27","10.238,09","0,04",4,,,,,,
DE000CJ2QQE6,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,52","10.228,91","0,04",4,,,,,,
DE000CJ2QQF3,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,53","10.220,01","0,04",4,,,,,,
DE000CJ2QQG1,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,48","10.211,61","0,04",4,,,,,,
DE000CJ2QQH9,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,47","10.203,74","0,04",4,,,,,,
DE000CJ2QQJ5,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,53","10.196,16","0,04",4,,,,,,
DE000CJ2QQK3,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,47","10.189,25","0,04",4,,,,,,
DE000CJ2QQL1,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,24","10.181,85","0,04",4,,,,,,
DE000CJ2QQM9,"0,00","0,01","0,03",20. Februar 2019,22. November 2019,"3,44","10.176,51","0,03",4,,,,,,
DE000CJ2QQN7,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,15","10.169,99","0,04",4,,,,,,
DE000CJ2QQP2,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,17","10.164,58","0,04",4,,,,,,
DE000CJ2QQQ0,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,01","10.160,01","0,04",4,,,,,,
DE000CJ2QQR8,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,85","10.155,79","0,04",4,,,,,,
DE000CJ2QQS6,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,56","10.151,97","0,04",4,,,,,,
DE000CJ2QQT4,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,20","10.147,50","0,04",4,,,,,,
DE000CJ2QQU2,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,21","10.143,96","0,04",4,,,,,,
DE000CJ2QQV0,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,48","10.141,43","0,04",4,,,,,,
DE000CJ2QQW8,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,17","10.137,69","0,04",4,,,,,,
DE000CJ2QQX6,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,00","10.135,06","0,04",4,,,,,,
DE000CJ2QQY4,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,15","10.132,32","0,04",4,,,,,,
DE000CJ2QQZ1,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,64","10.130,46","0,04",4,,,,,,
DE000CJ2QRA2,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,55","10.115,60","0,04",4,,,,,,
DE000CJ2QRB0,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,75","10.114,70","0,04",4,,,,,,
DE000CJ2QRC8,"0,00","0,01","0,03",20. Februar 2019,22. November 2019,"3,40","10.114,40","0,03",4,,,,,,
DE000CJ2QRD6,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,74","10.113,47","0,04",4,,,,,,
DE000CJ2QRE4,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,12","10.112,56","0,04",4,,,,,,
DE000CJ2QRF1,"0,00","0,01","0,03",20. Februar 2019,22. November 2019,"3,37","10.112,83","0,03",4,,,,,,
DE000CJ2QRG9,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,09","10.111,66","0,04",4,,,,,,
DE000CJ2QRH7,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,66","10.111,70","0,04",4,,,,,,
DE000CJ2QRJ3,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,16","10.110,84","0,04",4,,,,,,
DE000CJ2QRK1,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,58","10.111,13","0,04",4,,,,,,
DE000CJ7MM05,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,59","10.012,52","0,08",1,,,,,,
DE000CJ7MM13,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,53","10.013,81","0,08",1,,,,,,
DE000CJ7MM21,"0,00","0,01","0,07",28. März 2019,27. März 2020,"7,44","10.015,09","0,07",1,,,,,,
DE000CJ7MM39,"0,00","0,01","0,07",28. März 2019,27. März 2020,"7,41","10.017,72","0,07",1,,,,,,
DE000CJ7MM47,"0,00","0,01","0,07",28. März 2019,27. März 2020,"7,37","10.018,95","0,07",1,,,,,,
DE000CJ7MM54,"0,00","0,01","0,06",28. März 2019,27. März 2020,"6,04","10.021,52","0,06",1,,,,,,
DE000CJ7MM62,"0,00","0,01","0,07",28. März 2019,27. März 2020,"7,27","10.022,72","0,07",1,,,,,,
DE000CJ7MM70,"0,00","0,01","0,06",28. März 2019,27. März 2020,"5,94","10.025,23","0,06",1,,,,,,
DE000CJ7MM88,"0,00","0,01","0,07",28. März 2019,27. März 2020,"7,11","10.026,39","0,07",1,,,,,,
DE000CJ7MM96,"0,00","0,01","0,07",2. April 2019,27. März 2020,"7,07","10.010,47","0,07",1,,,,,,
DE000CJ7MMF0,"0,00","0,01","0,06",20. Februar 2019,25. Oktober 2019,"5,81","10.016,59","0,06",1,,,,,,
DE000CJ7MMJ2,"0,00","0,01","0,06",20. Februar 2019,22. November 2019,"6,10","10.024,26","0,06",1,,,,,,
DE000CJ7MMK0,"0,00","0,01","0,06",20. Februar 2019,22. November 2019,"6,06","10.025,38","0,06",1,,,,,,
DE000CJ7MML8,"0,00","0,01","0,06",21. Februar 2019,22. November 2019,"6,02","10.021,43","0,06",1,,,,,,
DE000CJ7MMM6,"0,00","0,01","0,06",27. Februar 2019,31. Dezember 2019,"6,35","10.020,42","0,06",1,,,,,,
DE000CJ7MMN4,"0,00","0,01","0,05",21. März 2019,31. Dezember 2019,"5,01","10.022,84","0,05",1,,,,,,
DE000CJ7MMP9,"0,00","0,01","0,06",28. März 2019,31. Dezember 2019,"6,01","10.022,69","0,06",1,,,,,,
DE000CJ7MMQ7,"0,00","0,01","0,08",28. März 2019,27. März 2020,"8,12","10.000,00","0,08",1,,,,,,
DE000CJ7MMR5,"0,00","0,01","0,08",28. März 2019,27. März 2020,"8,08","10.000,00","0,08",1,,,,,,
DE000CJ7MMS3,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,99","10.001,47","0,08",1,,,,,,
DE000CJ7MMT1,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,87","10.002,92","0,08",1,,,,,,
DE000CJ7MMU9,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,85","10.004,35","0,08",1,,,,,,
DE000CJ7MMV7,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,77","10.005,76","0,08",1,,,,,,
DE000CJ7MMW5,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,79","10.007,15","0,08",1,,,,,,
DE000CJ7MMX3,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,70","10.008,52","0,08",1,,,,,,
DE000CJ7MMY1,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,65","10.009,87","0,08",1,,,,,,
DE000CJ7MMZ8,"0,00","0,01","0,08",28. März 2019,27. März 2020,"7,60","10.011,20","0,08",1,,,,,,
DE000CJ7MN04,"0,00","0,01","0,04",27. August 2019,27. März 2020,"3,87","10.056,50","0,04",1,,,,,,
