ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,gesamtkosten_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,relative_gesamtkosten_1,gesamtkosten_2,relative_gesamtkosten_2
DE000MF6JQZ9,"0,00","0,01","0,05874",16.10.2019,"5,87","0,05874",1,,,,
DE000MF8NK10,"0,00","0,01","0,0819",16.10.2019,"8,19","0,0819",1,,,,
DE000MF8NK28,"0,00","0,01","0,08136",16.10.2019,"8,14","0,08136",1,,,,
DE000MF8NK36,"0,00","0,01","0,08084",16.10.2019,"8,08","0,08084",1,,,,
DE000MF8NK44,"0,00","0,01","0,08032",16.10.2019,"8,03","0,08032",1,,,,
DE000MF8NK51,"0,00","0,01","0,07981",16.10.2019,"7,98","0,07981",1,,,,
DE000MF8NK69,"0,00","0,01","0,0793",16.10.2019,"7,93","0,0793",1,,,,
DE000MF8NK77,"0,00","0,01","0,0788",16.10.2019,"7,88","0,0788",1,,,,
DE000MF8NK85,"0,00","0,01","0,07831",16.10.2019,"7,83","0,07831",1,,,,
DE000MF8NK93,"0,00","0,01","0,07782",16.10.2019,"7,78","0,07782",1,,,,
DE000MF8NKA3,"0,00","0,01","0,07734",16.10.2019,"7,73","0,07734",1,,,,
DE000MF8NKB1,"0,00","0,01","0,07687",16.10.2019,"7,69","0,07687",1,,,,
DE000MF8NKC9,"0,00","0,01","0,0764",16.10.2019,"7,64","0,0764",1,,,,
DE000MF8NKD7,"0,00","0,01","0,07594",16.10.2019,"7,59","0,07594",1,,,,
DE000MF8NKE5,"0,00","0,01","0,07548",16.10.2019,"7,55","0,07548",1,,,,
DE000MF8NKF2,"0,00","0,01","0,07503",16.10.2019,"7,50","0,07503",1,,,,
DE000MF8NKG0,"0,00","0,01","0,07458",16.10.2019,"7,46","0,07458",1,,,,
DE000MF8NKH8,"0,00","0,01","0,07414",16.10.2019,"7,41","0,07414",1,,,,
DE000MF8NKJ4,"0,00","0,01","0,0737",16.10.2019,"7,37","0,0737",1,,,,
DE000MF8NKK2,"0,00","0,01","0,07327",16.10.2019,"7,33","0,07327",1,,,,
DE000MF8NKL0,"0,00","0,01","0,07286",16.10.2019,"7,29","0,07286",1,,,,
DE000MF8NKM8,"0,00","0,01","0,07247",16.10.2019,"7,25","0,07247",1,,,,
DE000MF8NKN6,"0,00","0,01","0,07207",16.10.2019,"7,21","0,07207",1,,,,
DE000MF8NKP1,"0,00","0,01","0,07169",16.10.2019,"7,17","0,07169",1,,,,
DE000MF8NKQ9,"0,00","0,01","0,0713",16.10.2019,"7,13","0,0713",1,,,,
DE000MF8NKR7,"0,00","0,01","0,07093",16.10.2019,"7,09","0,07093",1,,,,
DE000MF8NKS5,"0,00","0,01","0,07055",16.10.2019,"7,05","0,07055",1,,,,
DE000MF8NKT3,"0,00","0,01","0,07018",16.10.2019,"7,02","0,07018",1,,,,
DE000MF8NSF5,"0,00","0,01","0,06164",16.10.2019,"6,16","0,06164",1,,,,
DE000MF8NSG3,"0,00","0,01","0,06126",16.10.2019,"6,13","0,06126",1,,,,
DE000MF8NSH1,"0,00","0,01","0,05955",16.10.2019,"5,95","0,05955",1,,,,
DE000MF8NSJ7,"0,00","0,01","0,05919",16.10.2019,"5,92","0,05919",1,,,,
